144,1008,SAMAYAC,,100
145,1009,SAN PABLO JOCOPILAS,,100
146,1010,SAN ANTONIO SUCHITEPEQUEZ,,100
147,1011,SAN MIGUEL PANAN,,100
148,1012,SAN GABRIEL,,100
149,1013,CHICACAO,,100
150,1014,PATULUL,,100
151,1015,SANTA BARBARA,,100
152,1016,SAN JUAN BAUTISTA,,100
153,1017,SANTO TOMAS LA UNION,,100
154,1018,ZUNILITO,,100
155,1019,PUEBLO NUEVO,,100
156,1020,RIO BRAVO,,100
157,1021,SAN JOSE LA MAQUINA,,100
158,1101,RETALHULEU,,110
159,1102,SAN SEBASTIAN,,110
160,1103,SANTA CRUZ MULUA,,110
161,1104,SAN MARTIN ZAPOTITLAN,,110
162,1105,SAN FELIPE,,110
163,1106,SAN ANDRES VILLA SECA,,110
164,1107,CHAMPERICO,,110
165,1108,NUEVO SAN CARLOS,,110
166,1109,EL ASINTAL,,110
167,1201,SAN MARCOS,,120
168,1202,SAN PEDRO SACATEPEQUEZ,,120
169,1203,SAN ANTONIO SACATEPEQUEZ,,120
170,1204,COMITANCILLO,,120
171,1205,SAN MIGUEL IXTAHUACAN,,120
172,1206,CONCEPCION TUTUAPA,,120
173,1207,TACANA,,120
174,1208,SIBINAL,,120
175,1209,TAJUMULCO,,120
176,1210,TEJUTLA,,120
177,1211,SAN RAFAEL PIE DE LA CUESTA,,120
178,1212,NUEVO PROGRESO,,120
179,1213,EL TUMBADOR,,120
180,1214,EL RODEO,,120
181,1215,MALACATAN,,120
182,1216,CATARINA,,120
183,1217,AYUTLA,,120
184,1218,OCOS,,120
185,1219,SAN PABLO,,120
186,1220,EL QUETZAL,,120
187,1221,LA REFORMA,,120
188,1222,PAJAPITA,,120
189,1223,IXCHIGUAN,,120
190,1224,SAN JOSE OJETENAM,,120
191,1225,SAN CRISTOBAL CUCHO,,120
192,1226,SIPACAPA,,120
193,1227,ESQUIPULAS PALO GORDO,,120
194,1228,RIO BLANCO,,120
195,1229,SAN LORENZO,,120
196,1230,LA BLANCA,,120
197,1301,HUEHUETENANGO,,130
198,1302,CHIANTLA,,130
199,1303,MALACATANCITO,,130
200,1304,CUILCO,,130
201,1305,NENTON,,130
202,1306,SAN PEDRO NECTA,,130
203,1307,JACALTENANGO,,130
204,1308,SAN PEDRO SOLOMA,,130
205,1309,IXTAHUACAN,,130
206,1310,SANTA BARBARA,,130
207,1311,LA LIBERTAD,,130
208,1312,LA DEMOCRACIA,,130
209,1313,SAN MIGUEL ACATAN,,130
210,1314,SAN RAFAEL LA INDEPENDENCIA,,130
211,1315,TODOS SANTOS CUCHUMATANES,,130
212,1316,SAN JUAN ATITLAN,,130
213,1317,SANTA EULALIA,,130
214,1318,SAN MATEO IXTATAN,,130
215,1319,COLOTENANGO,,130
216,1320,SAN SEBASTIAN HUEHUETENANGO,,130
217,1321,TECTITAN,,130
218,1322,CONCEPCION HUISTA,,130
219,1323,SAN JUAN IXCOY,,130
220,1324,SAN ANTONIO HUISTA,,130
221,1325,SAN SEBASTIAN COATAN,,130
222,1326,SANTA CRUZ BARILLAS,,130
223,1327,AGUACATAN,,130
224,1328,SAN RAFAEL PETZAL,,130
225,1329,SAN GASPAR IXCHIL,,130
226,1330,SANTIAGO CHIMALTENANGO,,130
227,1331,SANTA ANA HUISTA,,130
228,1332,UNION CANTINIL,,130
229,1333,PETATAN,,130
230,1401,SANTA CRUZ DEL QUICHE,,140
231,1402,CHICHE,,140
232,1403,CHINIQUE,,140
233,1404,ZACUALPA,,140
234,1405,CHAJUL,,140
235,1406,CHICHICASTENANGO,,140
236,1407,PATZITE,,140
237,1408,SAN ANTONIO ILOTENANGO,,140
238,1409,SAN PEDRO JOCOPILAS,,140
239,1410,CUNEN,,140
240,1411,SAN JUAN COTZAL,,140
241,1412,SANTA MARIA JOYABAJ,,140
242,1413,SANTA MARIA NEBAJ,,140
243,1414,SAN ANDRES SAJCABAJA,,140
244,1415,SAN MIGUEL USPANTAN,,140
245,1416,SACAPULAS,,140
246,1417,SAN BARTOLOME JOCOTENANGO,,140
247,1418,CANILLA,,140
248,1419,CHICAMAN,,140
249,1420,IXCAN,,140
250,1421,PACHALUM,,140
251,1501,SALAMA,,150
252,1502,SAN MIGUEL CHICAJ,,150
253,1503,RABINAL,,150
254,1504,CUBULCO,,150
255,1505,GRANADOS,,150
256,1506,SANTA CRUZ EL CHOL,,150
257,1507,SAN JERONIMO,,150
258,1508,PURULHA,,150
259,1601,COBAN,,160
260,1602,SANTA CRUZ VERAPAZ,,160
261,1603,SAN CRISTOBAL VERAPAZ,,160
